zone_id,zone_name,borough,count_2018,count_2025,change
132.0,JFK Airport,Queens,8362.0,9680.0,1318.0
138.0,LaGuardia Airport,Queens,5563.0,8915.0,3352.0
61.0,Crown Heights North,Brooklyn,7396.0,6460.0,-936.0
230.0,Times Sq/Theatre District,Manhattan,6385.0,6098.0,-287.0
79.0,East Village,Manhattan,9229.0,6083.0,-3146.0
161.0,Midtown Center,Manhattan,9764.0,6051.0,-3713.0
231.0,TriBeCa/Civic Center,Manhattan,7898.0,5534.0,-2364.0
76.0,East New York,Brooklyn,4345.0,5397.0,1052.0
234.0,Union Sq,Manhattan,8896.0,5392.0,-3504.0
37.0,Bushwick South,Brooklyn,4626.0,5257.0,631.0
68.0,East Chelsea,Manhattan,6185.0,5071.0,-1114.0
246.0,West Chelsea/Hudson Yards,Manhattan,6764.0,4966.0,-1798.0
164.0,Midtown South,Manhattan,6361.0,4891.0,-1470.0
255.0,Williamsburg (North Side),Brooklyn,5208.0,4665.0,-543.0
7.0,Astoria,Queens,4163.0,4596.0,433.0
148.0,Lower East Side,Manhattan,6377.0,4545.0,-1832.0
181.0,Park Slope,Brooklyn,5124.0,4521.0,-603.0
112.0,Greenpoint,Brooklyn,3320.0,4474.0,1154.0
48.0,Clinton East,Manhattan,8000.0,4466.0,-3534.0
170.0,Murray Hill,Manhattan,5963.0,4407.0,-1556.0
249.0,West Village,Manhattan,6378.0,4386.0,-1992.0
237.0,Upper East Side South,Manhattan,5619.0,4347.0,-1272.0
42.0,Central Harlem North,Manhattan,4088.0,4289.0,201.0
89.0,Flatbush/Ditmas Park,Brooklyn,4130.0,4213.0,83.0
17.0,Bedford,Brooklyn,3744.0,4134.0,390.0
129.0,Jackson Heights,Queens,2989.0,4094.0,1105.0
163.0,Midtown North,Manhattan,4933.0,4084.0,-849.0
188.0,Prospect-Lefferts Gardens,Brooklyn,3803.0,4029.0,226.0
36.0,Bushwick North,Brooklyn,3404.0,4028.0,624.0
225.0,Stuyvesant Heights,Brooklyn,4013.0,4012.0,-1.0
162.0,Midtown East,Manhattan,5468.0,4001.0,-1467.0
145.0,Long Island City/Hunters Point,Queens,2567.0,3967.0,1400.0
236.0,Upper East Side North,Manhattan,4466.0,3943.0,-523.0
244.0,Washington Heights South,Manhattan,3478.0,3941.0,463.0
256.0,Williamsburg (South Side),Brooklyn,3765.0,3883.0,118.0
39.0,Canarsie,Brooklyn,3690.0,3800.0,110.0
130.0,Jamaica,Queens,2198.0,3752.0,1554.0
82.0,Elmhurst,Queens,2880.0,3729.0,849.0
107.0,Gramercy,Manhattan,5974.0,3646.0,-2328.0
80.0,East Williamsburg,Brooklyn,3614.0,3587.0,-27.0
74.0,East Harlem North,Manhattan,2912.0,3421.0,509.0
216.0,South Ozone Park,Queens,1851.0,3384.0,1533.0
168.0,Mott Haven/Port Morris,Bronx,1878.0,3341.0,1463.0
95.0,Forest Hills,Queens,2477.0,3324.0,847.0
144.0,Little Italy/NoLiTa,Manhattan,5348.0,3305.0,-2043.0
90.0,Flatiron,Manhattan,4844.0,3285.0,-1559.0
41.0,Central Harlem,Manhattan,3098.0,3265.0,167.0
141.0,Lenox Hill West,Manhattan,3827.0,3254.0,-573.0
75.0,East Harlem South,Manhattan,2687.0,3247.0,560.0
142.0,Lincoln Square East,Manhattan,4192.0,3245.0,-947.0
